x1, y1, sigma1, angle1, t1_x, t1_y, theta1, x2, y2, sigma2, angle2, t2_x, t2_y, theta2
1357.46,50.6247,2.1238,-2.59713,1,2.61757,136.833,125.026,85.8536,2.59583,0.244299,1,2.61757,68.4167
1396.1,47.1907,5.28259,0.41127,1,2.61757,68.4167,125.987,114.382,4.94775,1.01348,1,2.61757,114.028
1389.68,63.4302,4.58916,2.78355,1,2.61757,91.2222,104.473,108.682,7.59691,-0.312396,1,1,0
1523.16,76.1702,2.73009,1.34089,1,1,0,71.8697,198.094,2.26494,1.62013,1,2.61757,68.4167
1398.82,97.0743,2.6629,-1.22499,1,2.61757,91.2222,46.8749,109.152,5.29468,1.91682,1,1,0
1218.29,356.815,10.0088,1.90662,1,2.61757,114.028,474.558,275.733,2.50481,1.90762,1,2.61757,68.4167
1574.27,571.966,2.44273,-1.68728,1,1,0,511.495,70.7575,2.65971,-1.88605,1,1,0
